text,frequency
발도르프,3
어우러진,1
따뜻한,3
다양합니다,1
장점,2
프로그램,6
예민한,1
따뜻,5
최고,6
신경써주는,2
생각해요,1
전통,1
비추천,1
믿을,5
만족,17
숲,2
커리큘럼,1
친절,9
초등학교,1
직원,1
보육환경,1
참,3
너무,26
믿음,4
다양,6
훌륭,3
않을지,1
무서워서,1
놀이과정,1
안되는,1
그럭저럭,1
지혜,1
교사,2
착한,2
가족같은,2
좋아해요,6
높아요,1
후회,1
선생님,52
규모,4
신설,1
쾌적하고,1
준비,2
아기자기,1
하지만,1
학습,2
함께,1
좋았어요,1
가득합니다,1
다정한,1
밝고,1
강추에요,1
챙겨,1
밝아요,2
자연,2
좋으시고,1
알찬,1
법률,1
사랑,20
열정적,2
변화,1
자유,2
안심하고,7
체계적인,1
감사,1
사립,2
좋아라,1
서울형어린이집,1
장단점,2
아파트,1
걱정이,1
원칙,2
추천,2
좋아요,26
깔끔,1
눈높이,2
유치원,11
유대관계,1
손주들처럼,1
원장님,13
무난한,1
인성,5
정성,2
안전,3
아이,80
괜찮았지만,1
즐겁게,4
진심,2
소통,1
식단,1
수업,3
혼합,1
관리,3
열정,1
보육,10
청결,1
모두,4
창의성,1
미만,1
구립,5
신경,1
FM,1
시설과,1
신뢰,4
영어,2
협업,1
시설,4
분위기,3
믿고,17
혁신적,1
기본,1
친환경,1
놀이,2
깨끗합니다,3
먹거리,3
즐거워,2
넘치는,1
베스트,1
입소문난,1
편안함,1
수준,1
인간적,2
편안한,5
무난,3
